arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
sparse,0,,,0.1,,,
sparse,1,0.213,1.0,,201.766,0.0,0.02
sparse,2,0.227,1.0,,204.562,0.0,0.02
sparse,3,0.339,1.0,,189.109,0.0,0.02
sparse,4,0.269,1.0,,189.609,0.0,0.018
sparse,5,0.297,1.0,,202.953,0.002,0.02
sparse,6,0.253,1.0,,197.984,0.001,0.022
sparse,7,0.438,1.0,,184.516,0.0,0.016
sparse,8,0.339,1.0,,193.859,0.004,0.018
sparse,9,0.395,1.0,,193.562,0.002,0.018
sparse,10,0.255,1.0,,196.891,0.009,0.027
sparse,11,0.339,1.0,,195.672,0.006,0.017
sparse,12,0.353,1.0,,190.406,0.003,0.016
sparse,13,0.409,1.0,,183.297,0.002,0.016
sparse,14,0.352,1.0,,191.047,0.001,0.019
sparse,15,0.227,1.0,,199.031,0.003,0.017
sparse,16,0.297,1.0,,197.578,0.002,0.016
sparse,17,0.311,1.0,,197.016,0.009,0.015
sparse,18,0.297,1.0,,200.594,0.013,0.016
sparse,19,0.311,1.0,,190.828,0.003,0.018
sparse,20,0.311,1.0,0.127,194.531,0.003,0.016
sparse,21,0.269,1.0,,192.359,0.006,0.02
sparse,22,0.367,1.0,,186.844,0.009,0.014
sparse,23,0.184,1.0,,200.0,0.007,0.017
sparse,24,0.423,1.0,,180.859,0.002,0.013
sparse,25,0.297,1.0,,191.484,0.002,0.013
sparse,26,0.297,1.0,,202.984,0.019,0.015
sparse,27,0.297,1.0,,196.938,0.016,0.014
sparse,28,0.255,1.0,,199.516,0.015,0.015
sparse,29,0.297,1.0,,196.031,0.015,0.015
sparse,30,0.241,1.0,,196.516,0.009,0.016
sparse,31,0.395,1.0,,188.125,0.015,0.011
sparse,32,0.198,1.0,,199.828,0.017,0.013
sparse,33,0.213,1.0,,203.562,0.021,0.014
sparse,34,0.367,1.0,,196.266,0.018,0.015
sparse,35,0.213,1.0,,195.297,0.041,0.014
sparse,36,0.269,1.0,,200.562,0.04,0.014
sparse,37,0.283,1.0,,191.375,0.008,0.014
sparse,38,0.241,1.0,,199.281,0.017,0.014
sparse,39,0.227,1.0,,203.656,0.023,0.017
sparse,40,0.213,1.0,0.127,203.719,0.049,0.014
sparse,41,0.241,1.0,,196.406,0.028,0.013
sparse,42,0.213,1.0,,202.047,0.019,0.014
sparse,43,0.184,1.0,,202.391,0.015,0.014
sparse,44,0.269,1.0,,195.109,0.039,0.014
sparse,45,0.269,1.0,,187.953,0.021,0.017
sparse,46,0.269,1.0,,196.031,0.006,0.013
sparse,47,0.241,1.0,,199.781,0.017,0.015
sparse,48,0.311,1.0,,197.328,0.014,0.014
sparse,49,0.325,1.0,,190.844,0.02,0.013
sparse,50,0.184,1.0,,200.156,0.04,0.014
sparse,51,0.198,1.0,,200.562,0.028,0.015
sparse,52,0.198,1.0,,203.234,0.027,0.014
