arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
pure-GRPO,0,,,0.061,,,
pure-GRPO,1,0.083,1.0,,120.516,0.0,0.661
pure-GRPO,2,0.072,0.1,,113.031,0.001,0.841
pure-GRPO,3,0.059,0.1,,99.422,0.001,0.682
pure-GRPO,4,0.083,1.0,,120.859,0.001,0.73
pure-GRPO,5,0.08,1.0,,104.594,0.001,0.911
pure-GRPO,6,0.069,0.1,,103.188,0.001,0.759
pure-GRPO,7,0.086,1.0,,117.984,0.002,0.767
pure-GRPO,8,0.08,0.1,,123.5,0.005,0.819
pure-GRPO,9,0.092,1.0,,102.984,0.007,0.86
pure-GRPO,10,0.091,1.0,,112.016,0.006,0.702
pure-GRPO,11,0.098,1.0,,113.625,0.013,0.933
pure-GRPO,12,0.078,0.1,,118.906,0.019,0.943
pure-GRPO,13,0.092,0.1,,101.75,0.01,1.104
pure-GRPO,14,0.097,0.1,,112.25,0.014,0.732
pure-GRPO,15,0.111,1.0,,96.172,0.027,0.996
pure-GRPO,16,0.091,0.1,,101.953,0.042,0.855
pure-GRPO,17,0.094,0.1,,102.797,0.044,0.832
pure-GRPO,18,0.097,0.1,,82.609,0.029,0.824
pure-GRPO,19,0.097,0.1,,95.547,0.031,0.802
pure-GRPO,20,0.155,1.0,0.1,91.766,0.071,0.842
pure-GRPO,21,0.095,0.1,,76.125,0.03,0.793
pure-GRPO,22,0.098,0.1,,63.781,0.029,0.739
pure-GRPO,23,0.1,0.1,,66.5,0.062,0.819
pure-GRPO,24,0.1,0.1,,58.656,0.129,0.763
pure-GRPO,25,0.1,0.1,,64.391,0.077,0.727
pure-GRPO,26,0.1,0.1,,53.797,0.148,0.799
pure-GRPO,27,0.098,0.1,,69.438,0.069,0.859
pure-GRPO,28,0.1,0.1,,71.266,0.082,0.868
pure-GRPO,29,0.114,1.0,,67.656,0.08,0.682
pure-GRPO,30,0.142,1.0,,52.891,0.076,0.765
pure-GRPO,31,0.1,0.1,,63.516,0.095,0.796
pure-GRPO,32,0.1,0.1,,61.109,0.119,0.928
pure-GRPO,33,0.128,1.0,,58.484,0.081,0.763
pure-GRPO,34,0.114,1.0,,54.688,0.052,0.767
pure-GRPO,35,0.1,0.1,,64.438,0.054,0.756
pure-GRPO,36,0.1,0.1,,62.156,0.09,0.778
pure-GRPO,37,0.1,0.1,,62.219,0.206,0.716
pure-GRPO,38,0.1,0.1,,59.016,0.093,0.775
pure-GRPO,39,0.114,1.0,,59.328,0.121,0.796
pure-GRPO,40,0.128,1.0,0.1,55.75,0.173,0.881
pure-GRPO,41,0.114,1.0,,56.953,0.089,0.704
pure-GRPO,42,0.1,0.1,,60.578,0.09,0.708
pure-GRPO,43,0.1,0.1,,52.641,0.116,0.904
