arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"control [sparse, n4]",0,,,0.1,,,
"control [sparse, n4]",1,0.213,1.0,,201.766,0.0,0.02
"control [sparse, n4]",2,0.227,1.0,,204.562,0.0,0.02
"control [sparse, n4]",3,0.339,1.0,,189.109,0.0,0.02
"control [sparse, n4]",4,0.269,1.0,,189.609,0.0,0.018
"control [sparse, n4]",5,0.297,1.0,,202.953,0.002,0.02
"control [sparse, n4]",6,0.253,1.0,,197.984,0.001,0.022
"control [sparse, n4]",7,0.438,1.0,,184.516,0.0,0.016
"control [sparse, n4]",8,0.339,1.0,,193.859,0.004,0.018
"control [sparse, n4]",9,0.395,1.0,,193.562,0.002,0.018
"control [sparse, n4]",10,0.255,1.0,,196.891,0.009,0.027
"control [sparse, n4]",11,0.339,1.0,,195.672,0.006,0.017
"control [sparse, n4]",12,0.353,1.0,,190.406,0.003,0.016
"control [sparse, n4]",13,0.409,1.0,,183.297,0.002,0.016
"control [sparse, n4]",14,0.352,1.0,,191.047,0.001,0.019
"control [sparse, n4]",15,0.227,1.0,,199.031,0.003,0.017
"control [sparse, n4]",16,0.297,1.0,,197.578,0.002,0.016
"control [sparse, n4]",17,0.311,1.0,,197.016,0.009,0.015
"control [sparse, n4]",18,0.297,1.0,,200.594,0.013,0.016
"control [sparse, n4]",19,0.311,1.0,,190.828,0.003,0.018
"control [sparse, n4]",20,0.311,1.0,0.127,194.531,0.003,0.016
"control [sparse, n4]",21,0.269,1.0,,192.359,0.006,0.02
"control [sparse, n4]",22,0.367,1.0,,186.844,0.009,0.014
"control [sparse, n4]",23,0.184,1.0,,200.0,0.007,0.017
"control [sparse, n4]",24,0.423,1.0,,180.859,0.002,0.013
"control [sparse, n4]",25,0.297,1.0,,191.484,0.002,0.013
"control [sparse, n4]",26,0.297,1.0,,202.984,0.019,0.015
"control [sparse, n4]",27,0.297,1.0,,196.938,0.016,0.014
"control [sparse, n4]",28,0.255,1.0,,199.516,0.015,0.015
"control [sparse, n4]",29,0.297,1.0,,196.031,0.015,0.015
"control [sparse, n4]",30,0.241,1.0,,196.516,0.009,0.016
"control [sparse, n4]",31,0.395,1.0,,188.125,0.015,0.011
"control [sparse, n4]",32,0.198,1.0,,199.828,0.017,0.013
"control [sparse, n4]",33,0.213,1.0,,203.562,0.021,0.014
"control [sparse, n4]",34,0.367,1.0,,196.266,0.018,0.015
"control [sparse, n4]",35,0.213,1.0,,195.297,0.041,0.014
"control [sparse, n4]",36,0.269,1.0,,200.562,0.04,0.014
"control [sparse, n4]",37,0.283,1.0,,191.375,0.008,0.014
"control [sparse, n4]",38,0.241,1.0,,199.281,0.017,0.014
"control [sparse, n4]",39,0.227,1.0,,203.656,0.023,0.017
